  0.500000000000000E+00  0.245331749126139E+02  0.245331749125886E+02  0.139274517018415E-31  0.601347001699907-153  0.601347001699907-153
  0.100000000000000E+01  0.187767034003600E+02  0.187767034002892E+02  0.149392723832322E-27  0.601347001699907-153  0.601347001699907-153
  0.150000000000000E+01  0.166071603154007E+02  0.166071603154558E+02  0.407669173225542E-27  0.601347001699907-153  0.601347001699907-153
  0.200000000000000E+01  0.158339932728441E+02  0.158339932727700E+02  0.174738009826735E-27  0.601347001699907-153  0.601347001699907-153
  0.250000000000000E+01  0.155176841530988E+02  0.155176841530847E+02  0.165018629544994E-27  0.601347001699907-153  0.601347001699907-153
  0.300000000000000E+01  0.153482984888635E+02  0.153482984888970E+02  0.320986764353792E-27  0.601347001699907-153  0.601347001699907-153
  0.350000000000000E+01  0.151413585646318E+02  0.151413585646468E+02  0.447938296003269E-27  0.601347001699907-153  0.601347001699907-153
  0.400000000000000E+01  0.146791250242903E+02  0.146791250242153E+02  0.501313442314292E-27  0.601347001699907-153  0.601347001699907-153
  0.450000000000000E+01  0.142178027337227E+02  0.142178027337365E+02  0.788325370117436E-26  0.601347001699907-153  0.601347001699907-153
  0.500000000000000E+01  0.138898758339574E+02  0.138898758339540E+02  0.102004664990820E-24  0.601347001699907-153  0.601347001699907-153
  0.550000000000000E+01  0.138638001049043E+02  0.138638001049466E+02  0.121717342105996E-24  0.601347001699907-153  0.601347001699907-153
  0.600000000000000E+01  0.138517101388294E+02  0.138517101388309E+02  0.126239516604664E-24  0.601347001699907-153  0.601347001699907-153
  0.650000000000000E+01  0.138400075461119E+02  0.138400075461613E+02  0.124477914568736E-24  0.601347001699907-153  0.601347001699907-153
  0.700000000000000E+01  0.138270913873415E+02  0.138270913872975E+02  0.115349893593634E-24  0.601347001699907-153  0.601347001699907-153
  0.750000000000000E+01  0.137909865060998E+02  0.137909865060537E+02  0.932527148695494E-25  0.601347001699907-153  0.601347001699907-153
  0.800000000000000E+01  0.137398233383956E+02  0.137398233384851E+02  0.870927494837094E-25  0.601347001699907-153  0.601347001699907-153
  0.850000000000000E+01  0.136863338664706E+02  0.136863338665282E+02  0.116225306989366E-24  0.601347001699907-153  0.601347001699907-153
  0.900000000000000E+01  0.136274226302604E+02  0.136274226302831E+02  0.179968690630509E-24  0.601347001699907-153  0.601347001699907-153
  0.950000000000000E+01  0.135796704872848E+02  0.135796704871832E+02  0.234463774688731E-24  0.601347001699907-153  0.601347001699907-153
  0.100000000000000E+02  0.135501110464100E+02  0.135501110464873E+02  0.244492871149211E-24  0.601347001699907-153  0.601347001699907-153
  0.105000000000000E+02  0.135365776917804E+02  0.135365776918010E+02  0.236962534577465E-24  0.601347001699907-153  0.601347001699907-153
  0.110000000000000E+02  0.135243186949914E+02  0.135243186949603E+02  0.223450144856504E-24  0.601347001699907-153  0.601347001699907-153
  0.115000000000000E+02  0.135125958286528E+02  0.135125958286428E+02  0.205709575452605E-24  0.601347001699907-153  0.601347001699907-153
  0.120000000000000E+02  0.135013882937551E+02  0.135013882937743E+02  0.185746109710377E-24  0.601347001699907-153  0.601347001699907-153
  0.125000000000000E+02  0.134906379118194E+02  0.134906379117968E+02  0.165410482609596E-24  0.601347001699907-153  0.601347001699907-153
  0.130000000000000E+02  0.134802765250200E+02  0.134802765250486E+02  0.146118227761133E-24  0.601347001699907-153  0.601347001699907-153
  0.135000000000000E+02  0.134702247416238E+02  0.134702247415813E+02  0.128588687875327E-24  0.601347001699907-153  0.601347001699907-153
  0.140000000000000E+02  0.134604221459083E+02  0.134604221459571E+02  0.112969679108231E-24  0.601347001699907-153  0.601347001699907-153
  0.145000000000000E+02  0.134508552731014E+02  0.134508552731616E+02  0.990777082722494E-25  0.601347001699907-153  0.601347001699907-153
  0.150000000000000E+02  0.134415759925769E+02  0.134415759926131E+02  0.865930709944952E-25  0.601347001699907-153  0.601347001699907-153
  0.155000000000000E+02  0.134326791869963E+02  0.134326791870825E+02  0.751801310342759E-25  0.601347001699907-153  0.601347001699907-153
  0.160000000000000E+02  0.134242844233358E+02  0.134242844232856E+02  0.646276892346678E-25  0.601347001699907-153  0.601347001699907-153
  0.165000000000000E+02  0.134164722701968E+02  0.134164722702075E+02  0.549345306846953E-25  0.601347001699907-153  0.601347001699907-153
  0.170000000000000E+02  0.134092623074125E+02  0.134092623073486E+02  0.462376888271392E-25  0.601347001699907-153  0.601347001699907-153
  0.175000000000000E+02  0.134026215307703E+02  0.134026215307826E+02  0.386831557419873E-25  0.601347001699907-153  0.601347001699907-153
  0.180000000000000E+02  0.133964904134317E+02  0.133964904133592E+02  0.323266330171901E-25  0.601347001699907-153  0.601347001699907-153
  0.185000000000000E+02  0.133907940202454E+02  0.133907940202178E+02  0.271226008815229E-25  0.601347001699907-153  0.601347001699907-153
  0.190000000000000E+02  0.133854171231750E+02  0.133854171231136E+02  0.229653955560303E-25  0.601347001699907-153  0.601347001699907-153
  0.195000000000000E+02  0.133802065017439E+02  0.133802065016982E+02  0.197255139242943E-25  0.601347001699907-153  0.601347001699907-153
  0.200000000000000E+02  0.133750209291151E+02  0.133750209291879E+02  0.172627316640978E-25  0.601347001699907-153  0.601347001699907-153
  0.205000000000000E+02  0.133697842934181E+02  0.133697842934229E+02  0.154414014116168E-25  0.601347001699907-153  0.601347001699907-153
  0.210000000000000E+02  0.133644617932091E+02  0.133644617932442E+02  0.141425522437505E-25  0.601347001699907-153  0.601347001699907-153
  0.215000000000000E+02  0.133590030711847E+02  0.133590030711376E+02  0.132750166111828E-25  0.601347001699907-153  0.601347001699907-153
