           70           95       186000    12.00000000000000     
  0.000000000000000D+00 -0.406846865225186D-16  0.000000000000000D+00  0.000000000000000D+00
  0.737136539972447D-01 -0.406846865225186D-16  0.116818836583110-116  0.000000000000000D+00
  0.219572360974684D+00 -0.406846865225186D-16  0.309586486291754-110  0.000000000000000D+00
  0.362329494570845D+00 -0.406846865225186D-16  0.651194027633647-107  0.000000000000000D+00
  0.502055555036823D+00 -0.406846865225186D-16  0.490009123834673-104  0.000000000000000D+00
  0.638819545735878D+00 -0.406846865225186D-16  0.235257641376562-101  0.000000000000000D+00
  0.772689007220575D+00 -0.406846865225186D-16  0.861737939437097D-99  0.000000000000000D+00
  0.903730050587509D+00 -0.406846865225186D-16  0.260282764213568D-96  0.000000000000000D+00
  0.103200739012611D+01 -0.406846865225186D-16  0.675091514846897D-94  0.000000000000000D+00
  0.115758437527762D+01 -0.406846865225186D-16  0.153993659261520D-91  0.000000000000000D+00
  0.128052302192008D+01 -0.406846865225186D-16  0.313742202644783D-89  0.000000000000000D+00
  0.140088404299468D+01 -0.406846865225186D-16  0.577086578228470D-87  0.000000000000000D+00
  0.151872687848873D+01 -0.406846865225186D-16  0.965939069363417D-85  0.000000000000000D+00
  0.163410972478992D+01 -0.406846865225186D-16  0.148031474167512D-82  0.000000000000000D+00
  0.174708956342646D+01 -0.406846865225186D-16  0.208724239590919D-80  0.000000000000000D+00
  0.185772218920729D+01 -0.406846865225186D-16  0.271858971915602D-78  0.000000000000000D+00
  0.196606223777618D+01 -0.406846865225186D-16  0.328187772482272D-76  0.000000000000000D+00
  0.207216321259342D+01 -0.406846865225186D-16  0.368257300032248D-74  0.000000000000000D+00
  0.217607751135835D+01 -0.406846865225186D-16  0.385041033418594D-72  0.000000000000000D+00
  0.227785645188587D+01 -0.406846865225186D-16  0.375954045231962D-70  0.000000000000000D+00
  0.237755029744957D+01 -0.406846865225186D-16  0.343459097214983D-68  0.000000000000000D+00
  0.247520828160414D+01 -0.406846865225186D-16  0.294091789039549D-66  0.000000000000000D+00
  0.257087863249925D+01 -0.406846865225186D-16  0.236397708215896D-64  0.000000000000000D+00
  0.266460859669688D+01 -0.406846865225186D-16  0.178641600189590D-62  0.000000000000000D+00
  0.275644446250393D+01 -0.406846865225186D-16  0.127080378682771D-60  0.000000000000000D+00
  0.284643158283155D+01 -0.406846865225186D-16  0.852054487164818D-59  0.000000000000000D+00
  0.293461439759264D+01 -0.406846865225186D-16  0.539077000512542D-57  0.000000000000000D+00
  0.302103645564828D+01 -0.406846865225186D-16  0.322181737302746D-55  0.000000000000000D+00
  0.310574043631433D+01 -0.406846865225186D-16  0.182081078871233D-53  0.000000000000000D+00
  0.318876817043843D+01 -0.406846865225186D-16  0.974021152365526D-52  0.000000000000000D+00
  0.327016066105809D+01 -0.406846865225186D-16  0.493650436824326D-50  0.000000000000000D+00
  0.334995810364994D+01 -0.406846865225186D-16  0.237252528081927D-48  0.000000000000000D+00
  0.342819990598013D+01 -0.406846865225186D-16  0.108223605698210D-46  0.000000000000000D+00
  0.350492470756582D+01 -0.406846865225186D-16  0.468944675501868D-45  0.000000000000000D+00
  0.358017039875715D+01 -0.406846865225186D-16  0.193183041653110D-43  0.000000000000000D+00
  0.365397413944930D+01 -0.406846865225186D-16  0.757208801700144D-42  0.000000000000000D+00
  0.372637237743386D+01 -0.406846865225186D-16  0.282622341682016D-40  0.000000000000000D+00
  0.379740086639841D+01 -0.406846865225186D-16  0.100526594142057D-38  0.000000000000000D+00
  0.386709468358346D+01 -0.406846865225186D-16  0.341015424953019D-37  0.000000000000000D+00
  0.393548824710520D+01 -0.406846865225186D-16  0.110412144251207D-35  0.000000000000000D+00
  0.400261533295281D+01 -0.406846865225186D-16  0.341458150658365D-34  0.000000000000000D+00
  0.406850909166868D+01 -0.406846865225186D-16  0.100939534462718D-32  0.000000000000000D+00
  0.413320206471970D+01 -0.406846865225186D-16  0.285437608969999D-31  0.000000000000000D+00
  0.419672620056777D+01 -0.406846865225186D-16  0.772694265094713D-30  0.000000000000000D+00
  0.425911287044748D+01 -0.406846865225186D-16  0.200386611125856D-28  0.000000000000000D+00
  0.432039288385872D+01 -0.406846865225186D-16  0.498206127580449D-27  0.000000000000000D+00
  0.438059650378188D+01 -0.406846865225186D-16  0.118833711972512D-25  0.000000000000000D+00
  0.443975346162310D+01 -0.406846865225186D-16  0.272123522594394D-24  0.000000000000000D+00
  0.449789297189712D+01 -0.406846865225186D-16  0.598668860415306D-23  0.000000000000000D+00
  0.455504374665475D+01 -0.406846865225186D-16  0.126616345134874D-21  0.000000000000000D+00
  0.461123400966225D+01 -0.406846865225186D-16  0.257602461772953D-20  0.000000000000000D+00
  0.466649151033957D+01 -0.406846865225186D-16  0.504455857610544D-19  0.000000000000000D+00
  0.472084353746434D+01 -0.406846865225186D-16  0.951348046178041D-18  0.000000000000000D+00
  0.477431693264834D+01 -0.406846865225186D-16  0.172859919272539D-16  0.000000000000000D+00
  0.482693810359318D+01 -0.406846865225186D-16  0.302716873183675D-15  0.000000000000000D+00
  0.487873303713169D+01 -0.406846865225186D-16  0.511037280478095D-14  0.000000000000000D+00
  0.492972731206142D+01 -0.406846865225186D-16  0.831657255511594D-13  0.000000000000000D+00
  0.497994611177670D+01 -0.406846865225186D-16  0.130437221904080D-11  0.000000000000000D+00
  0.502941423670535D+01 -0.406846865225186D-16  0.197043287114089D-10  0.000000000000000D+00
  0.507815611655637D+01 -0.406846865225186D-16  0.286388464835586D-09  0.000000000000000D+00
