  0.500000000000000D+00  0.111630217347592D+02  0.111544258732938D+02  0.108985700817977D-13  0.000000000000000D+00  0.000000000000000D+00
  0.100000000000000D+01  0.102616661776483D+02  0.102523699493904D+02  0.184950000290858D-12  0.000000000000000D+00  0.000000000000000D+00
  0.150000000000000D+01  0.974643690804805D+01  0.973876925740478D+01  0.271966991727891D-11  0.000000000000000D+00  0.000000000000000D+00
  0.200000000000000D+01  0.961222737278149D+01  0.960426626339904D+01  0.234465357100869D-10  0.000000000000000D+00  0.000000000000000D+00
  0.250000000000000D+01  0.959537524249026D+01  0.958936558231653D+01  0.117375453730238D-09  0.000000000000000D+00  0.000000000000000D+00
  0.300000000000000D+01  0.961497577721457D+01  0.961062728602701D+01  0.283315166327857D-09  0.000000000000000D+00  0.000000000000000D+00
  0.350000000000000D+01  0.968719172249985D+01  0.968197649359354D+01  0.311163959529951D-09  0.000000000000000D+00  0.000000000000000D+00
  0.400000000000000D+01  0.971467744408437D+01  0.970850226978655D+01  0.184968266571076D-09  0.000000000000000D+00  0.000000000000000D+00
  0.450000000000000D+01  0.957742939684249D+01  0.957415984056570D+01  0.980119441379881D-10  0.000000000000000D+00  0.000000000000000D+00
  0.500000000000000D+01  0.943142278555024D+01  0.943044338376785D+01  0.586467235272439D-10  0.000000000000000D+00  0.000000000000000D+00
  0.550000000000000D+01  0.934058003946120D+01  0.934033375164290D+01  0.359067840254310D-10  0.000000000000000D+00  0.000000000000000D+00
  0.600000000000000D+01  0.927262888422410D+01  0.927297037235985D+01  0.205961791004553D-10  0.000000000000000D+00  0.000000000000000D+00
  0.650000000000000D+01  0.924143549570726D+01  0.924221015947114D+01  0.119117500559226D-10  0.000000000000000D+00  0.000000000000000D+00
  0.700000000000000D+01  0.924734127735428D+01  0.924785423558933D+01  0.886272218255319D-11  0.000000000000000D+00  0.000000000000000D+00
  0.750000000000000D+01  0.922418079909403D+01  0.922519107154221D+01  0.100730781079171D-10  0.000000000000000D+00  0.000000000000000D+00
  0.800000000000000D+01  0.919540474622772D+01  0.919744991495099D+01  0.164323256128755D-10  0.000000000000000D+00  0.000000000000000D+00
  0.850000000000000D+01  0.922190192618291D+01  0.922397850591369D+01  0.303173539264630D-10  0.000000000000000D+00  0.000000000000000D+00
  0.900000000000000D+01  0.930950254044001D+01  0.931010467745364D+01  0.517741783751529D-10  0.000000000000000D+00  0.000000000000000D+00
  0.950000000000000D+01  0.938984082304523D+01  0.938942124391178D+01  0.798053466489231D-10  0.000000000000000D+00  0.000000000000000D+00
  0.100000000000000D+02  0.945976774289011D+01  0.945880060372292D+01  0.116993602621128D-09  0.000000000000000D+00  0.000000000000000D+00
  0.105000000000000D+02  0.952100129963947D+01  0.951957837438385D+01  0.168307984617291D-09  0.000000000000000D+00  0.000000000000000D+00
  0.110000000000000D+02  0.953871431400330D+01  0.953707040218433D+01  0.225617420547141D-09  0.000000000000000D+00  0.000000000000000D+00
  0.115000000000000D+02  0.952270764209970D+01  0.952082848196733D+01  0.254970347339245D-09  0.000000000000000D+00  0.000000000000000D+00
  0.120000000000000D+02  0.950243440239865D+01  0.950005654284178D+01  0.227577224609376D-09  0.000000000000000D+00  0.000000000000000D+00
  0.125000000000000D+02  0.947077034002723D+01  0.946813843279233D+01  0.167683884452160D-09  0.000000000000000D+00  0.000000000000000D+00
  0.130000000000000D+02  0.941272815618868D+01  0.941076535524917D+01  0.116299412871658D-09  0.000000000000000D+00  0.000000000000000D+00
  0.135000000000000D+02  0.935075958190282D+01  0.934979254136124D+01  0.842384287474740D-10  0.000000000000000D+00  0.000000000000000D+00
  0.140000000000000D+02  0.930149777233601D+01  0.930125789300655D+01  0.644674767633488D-10  0.000000000000000D+00  0.000000000000000D+00
  0.145000000000000D+02  0.926418115400884D+01  0.926445591731317D+01  0.506859350011567D-10  0.000000000000000D+00  0.000000000000000D+00
