  0.100000000000000E+00  0.483117196808421E+02  0.483117196808210E+02  0.178512061120070E-77  0.601347001699907-153  0.601347001699907-153
  0.100000000000000E+01  0.178231431222300E+02  0.178231431222557E+02  0.414657901495007E-25  0.601347001699907-153  0.601347001699907-153
  0.200000000000000E+01  0.147164165666422E+02  0.147164165666516E+02  0.132665794634436E-23  0.601347001699907-153  0.601347001699907-153
  0.300000000000000E+01  0.136803930600991E+02  0.136803930601102E+02  0.585424800316655E-23  0.601347001699907-153  0.601347001699907-153
  0.400000000000000E+01  0.132530953827804E+02  0.132530953827603E+02  0.169037488064589E-22  0.601347001699907-153  0.601347001699907-153
  0.500000000000000E+01  0.130927393272190E+02  0.130927393272844E+02  0.122437382692371E-22  0.601347001699907-153  0.601347001699907-153
  0.600000000000000E+01  0.129795598585920E+02  0.129795598586360E+02  0.367028991581044E-22  0.601347001699907-153  0.601347001699907-153
  0.700000000000000E+01  0.129278540142634E+02  0.129278540142518E+02  0.153063136198468E-22  0.601347001699907-153  0.601347001699907-153
  0.800000000000000E+01  0.128730426889354E+02  0.128730426889486E+02  0.207384185861815E-22  0.601347001699907-153  0.601347001699907-153
  0.900000000000000E+01  0.128142448787006E+02  0.128142448786731E+02  0.743582526191867E-22  0.601347001699907-153  0.601347001699907-153
  0.100000000000000E+02  0.127997070936032E+02  0.127997070935408E+02  0.493709380431319E-22  0.601347001699907-153  0.601347001699907-153
  0.110000000000000E+02  0.128173265282834E+02  0.128173265282866E+02  0.161178359197657E-22  0.601347001699907-153  0.601347001699907-153
  0.120000000000000E+02  0.128074487935872E+02  0.128074487936113E+02  0.228727660196500E-22  0.601347001699907-153  0.601347001699907-153
  0.130000000000000E+02  0.127775581951510E+02  0.127775581951225E+02  0.686866241279448E-22  0.601347001699907-153  0.601347001699907-153
  0.140000000000000E+02  0.127801323151512E+02  0.127801323151452E+02  0.572942833830055E-22  0.601347001699907-153  0.601347001699907-153
  0.150000000000000E+02  0.127898248939928E+02  0.127898248939941E+02  0.250158925577695E-22  0.601347001699907-153  0.601347001699907-153
  0.160000000000000E+02  0.127784053030751E+02  0.127784053030603E+02  0.219020124776584E-22  0.601347001699907-153  0.601347001699907-153
  0.170000000000000E+02  0.127873723916725E+02  0.127873723916655E+02  0.254130265764153E-22  0.601347001699907-153  0.601347001699907-153
  0.180000000000000E+02  0.127729186317981E+02  0.127729186318637E+02  0.550900545644780E-22  0.601347001699907-153  0.601347001699907-153
  0.190000000000000E+02  0.127843019771715E+02  0.127843019771527E+02  0.509234177970887E-22  0.601347001699907-153  0.601347001699907-153
  0.200000000000000E+02  0.127719145624046E+02  0.127719145623852E+02  0.469303242054766E-22  0.601347001699907-153  0.601347001699907-153
  0.210000000000000E+02  0.127819587063235E+02  0.127819587063393E+02  0.254865728014170E-22  0.601347001699907-153  0.601347001699907-153
  0.220000000000000E+02  0.127732755415036E+02  0.127732755414932E+02  0.263282592855213E-22  0.601347001699907-153  0.601347001699907-153
  0.230000000000000E+02  0.127784970278117E+02  0.127784970277791E+02  0.261898380776437E-22  0.601347001699907-153  0.601347001699907-153
  0.240000000000000E+02  0.127739262366733E+02  0.127739262367030E+02  0.374901760611026E-22  0.601347001699907-153  0.601347001699907-153
  0.250000000000000E+02  0.127745604192007E+02  0.127745604192271E+02  0.469815569244088E-22  0.601347001699907-153  0.601347001699907-153
  0.260000000000000E+02  0.127808127244047E+02  0.127808127244248E+02  0.450676745923101E-22  0.601347001699907-153  0.601347001699907-153
  0.270000000000000E+02  0.127751228609134E+02  0.127751228609142E+02  0.461913029535600E-22  0.601347001699907-153  0.601347001699907-153
  0.280000000000000E+02  0.127749097890597E+02  0.127749097890602E+02  0.404548220664331E-22  0.601347001699907-153  0.601347001699907-153
  0.290000000000000E+02  0.127795863141456E+02  0.127795863141901E+02  0.297077382442455E-22  0.601347001699907-153  0.601347001699907-153
  0.300000000000000E+02  0.127757051793870E+02  0.127757051793641E+02  0.291080492937900E-22  0.601347001699907-153  0.601347001699907-153
  0.310000000000000E+02  0.127718041468675E+02  0.127718041468103E+02  0.298057163832052E-22  0.601347001699907-153  0.601347001699907-153
  0.320000000000000E+02  0.127759996111946E+02  0.127759996111824E+02  0.289847029863368E-22  0.601347001699907-153  0.601347001699907-153
  0.330000000000000E+02  0.127768887814767E+02  0.127768887814760E+02  0.312065158156292E-22  0.601347001699907-153  0.601347001699907-153
  0.340000000000000E+02  0.127743865306558E+02  0.127743865306835E+02  0.366034687631060E-22  0.601347001699907-153  0.601347001699907-153
  0.350000000000000E+02  0.127741700541661E+02  0.127741700540902E+02  0.417684025118266E-22  0.601347001699907-153  0.601347001699907-153
  0.360000000000000E+02  0.127776308983764E+02  0.127776308983296E+02  0.415595040364932E-22  0.601347001699907-153  0.601347001699907-153
  0.370000000000000E+02  0.127795361355742E+02  0.127795361355393E+02  0.412395176583178E-22  0.601347001699907-153  0.601347001699907-153
  0.380000000000000E+02  0.127770919760455E+02  0.127770919760518E+02  0.422048867104877E-22  0.601347001699907-153  0.601347001699907-153
  0.390000000000000E+02  0.127758979215815E+02  0.127758979215523E+02  0.407404792924396E-22  0.601347001699907-153  0.601347001699907-153
  0.400000000000000E+02  0.127772871620289E+02  0.127772871620296E+02  0.365733239237356E-22  0.601347001699907-153  0.601347001699907-153
  0.410000000000000E+02  0.127790676780467E+02  0.127790676779928E+02  0.327492179229556E-22  0.601347001699907-153  0.601347001699907-153
  0.420000000000000E+02  0.127780067407205E+02  0.127780067407157E+02  0.317540808597233E-22  0.601347001699907-153  0.601347001699907-153
