          70          95       0   12.0000000000000     
  0.000000000000000D+00 -0.406846865225186D-16  0.000000000000000D+00  0.000000000000000D+00
  0.737136539972447D-01 -0.406846865225186D-16  0.675676638696218-117  0.000000000000000D+00
  0.219572360974684D+00 -0.406846865225186D-16  0.689002291723746-112  0.000000000000000D+00
  0.362329494570845D+00 -0.406846865225186D-16  0.145544439012003-108  0.000000000000000D+00
  0.502055555036823D+00 -0.406846865225186D-16  0.109791119637934-105  0.000000000000000D+00
  0.638819545735878D+00 -0.406846865225186D-16  0.528006593611372-103  0.000000000000000D+00
  0.772689007220575D+00 -0.406846865225186D-16  0.193646131024349-100  0.000000000000000D+00
  0.903730050587509D+00 -0.406846865225186D-16  0.585453847804790D-98  0.000000000000000D+00
  0.103200739012611D+01 -0.406846865225186D-16  0.151963036681419D-95  0.000000000000000D+00
  0.115758437527762D+01 -0.406846865225186D-16  0.346852338653546D-93  0.000000000000000D+00
  0.128052302192008D+01 -0.406846865225186D-16  0.707026191916607D-91  0.000000000000000D+00
  0.140088404299468D+01 -0.406846865225186D-16  0.130103679699988D-88  0.000000000000000D+00
  0.151872687848873D+01 -0.406846865225186D-16  0.217849950044103D-86  0.000000000000000D+00
  0.163410972478992D+01 -0.406846865225186D-16  0.333964020394514D-84  0.000000000000000D+00
  0.174708956342646D+01 -0.406846865225186D-16  0.471019994661489D-82  0.000000000000000D+00
  0.185772218920729D+01 -0.406846865225186D-16  0.613644819628848D-80  0.000000000000000D+00
  0.196606223777618D+01 -0.406846865225186D-16  0.740954016216875D-78  0.000000000000000D+00
  0.207216321259342D+01 -0.406846865225186D-16  0.831583868520785D-76  0.000000000000000D+00
  0.217607751135835D+01 -0.406846865225186D-16  0.869639728516662D-74  0.000000000000000D+00
  0.227785645188587D+01 -0.406846865225186D-16  0.849254359177694D-72  0.000000000000000D+00
  0.237755029744957D+01 -0.406846865225186D-16  0.775965924365891D-70  0.000000000000000D+00
  0.247520828160414D+01 -0.406846865225186D-16  0.664522722676034D-68  0.000000000000000D+00
  0.257087863249925D+01 -0.406846865225186D-16  0.534225792645775D-66  0.000000000000000D+00
  0.266460859669688D+01 -0.406846865225186D-16  0.403752031411185D-64  0.000000000000000D+00
  0.275644446250393D+01 -0.406846865225186D-16  0.287248306817982D-62  0.000000000000000D+00
  0.284643158283155D+01 -0.406846865225186D-16  0.192614915415211D-60  0.000000000000000D+00
  0.293461439759264D+01 -0.406846865225186D-16  0.121874813424100D-58  0.000000000000000D+00
  0.302103645564828D+01 -0.406846865225186D-16  0.728453827538372D-57  0.000000000000000D+00
  0.310574043631433D+01 -0.406846865225186D-16  0.411719533771364D-55  0.000000000000000D+00
  0.318876817043843D+01 -0.406846865225186D-16  0.220261409648700D-53  0.000000000000000D+00
  0.327016066105809D+01 -0.406846865225186D-16  0.111640293638228D-51  0.000000000000000D+00
  0.334995810364994D+01 -0.406846865225186D-16  0.536589255362563D-50  0.000000000000000D+00
  0.342819990598013D+01 -0.406846865225186D-16  0.244783016459657D-48  0.000000000000000D+00
  0.350492470756582D+01 -0.406846865225186D-16  0.106073714182923D-46  0.000000000000000D+00
  0.358017039875715D+01 -0.406846865225186D-16  0.436999623236262D-45  0.000000000000000D+00
  0.365397413944930D+01 -0.406846865225186D-16  0.171298274445667D-43  0.000000000000000D+00
  0.372637237743386D+01 -0.406846865225186D-16  0.639394588261982D-42  0.000000000000000D+00
  0.379740086639841D+01 -0.406846865225186D-16  0.227441174592943D-40  0.000000000000000D+00
  0.386709468358346D+01 -0.406846865225186D-16  0.771594744764113D-39  0.000000000000000D+00
  0.393548824710520D+01 -0.406846865225186D-16  0.249840013362872D-37  0.000000000000000D+00
  0.400261533295281D+01 -0.406846865225186D-16  0.772711283199207D-36  0.000000000000000D+00
  0.406850909166868D+01 -0.406846865225186D-16  0.228445775016872D-34  0.000000000000000D+00
  0.413320206471970D+01 -0.406846865225186D-16  0.646080217022282D-33  0.000000000000000D+00
  0.419672620056777D+01 -0.406846865225186D-16  0.174925557815981D-31  0.000000000000000D+00
  0.425911287044748D+01 -0.406846865225186D-16  0.453742437255223D-30  0.000000000000000D+00
  0.432039288385872D+01 -0.406846865225186D-16  0.112844595339297D-28  0.000000000000000D+00
  0.438059650378188D+01 -0.406846865225186D-16  0.269273595247345D-27  0.000000000000000D+00
  0.443975346162310D+01 -0.406846865225186D-16  0.616986442116008D-26  0.000000000000000D+00
  0.449789297189712D+01 -0.406846865225186D-16  0.135848418228065D-24  0.000000000000000D+00
  0.455504374665475D+01 -0.406846865225186D-16  0.287647245517313D-23  0.000000000000000D+00
  0.461123400966225D+01 -0.406846865225186D-16  0.586169956768160D-22  0.000000000000000D+00
  0.466649151033957D+01 -0.406846865225186D-16  0.115047521297754D-20  0.000000000000000D+00
  0.472084353746434D+01 -0.406846865225186D-16  0.217648557672345D-19  0.000000000000000D+00
  0.477431693264834D+01 -0.406846865225186D-16  0.397187392589079D-18  0.000000000000000D+00
  0.482693810359318D+01 -0.406846865225186D-16  0.699736495100600D-17  0.000000000000000D+00
  0.487873303713169D+01 -0.406846865225186D-16  0.119100421703770D-15  0.000000000000000D+00
  0.492972731206142D+01 -0.406846865225186D-16  0.196008150279080D-14  0.000000000000000D+00
  0.497994611177670D+01 -0.406846865225186D-16  0.312148645912525D-13  0.000000000000000D+00
  0.502941423670535D+01 -0.406846865225186D-16  0.481417420282616D-12  0.000000000000000D+00
  0.507815611655637D+01 -0.406846865225186D-16  0.719620918353022D-11  0.000000000000000D+00
  0.512619582238441D+01 -0.406846865225186D-16  0.104341737733819D-09  0.000000000000000D+00
  0.517355707847730D+01 -0.406846865225186D-16  0.146871446891405D-08  0.000000000000000D+00
  0.522026327407214D+01 -0.406846865225186D-16  0.200861368152715D-07  0.000000000000000D+00
  0.526633747490607D+01 -0.406846865225186D-16  0.267111056445117D-06  0.000000000000000D+00
  0.531180243460718D+01 -0.406846865225186D-16  0.345686427233478D-05  0.000000000000000D+00
  0.535668060593140D+01 -0.406846865225186D-16  0.435741329848600D-04  0.000000000000000D+00
  0.540099415185067D+01 -0.406846865225186D-16  0.535426925516447D-03  0.000000000000000D+00
  0.544476495649810D+01 -0.406846865225186D-16  0.642017710814329D-02  0.000000000000000D+00
  0.548801463597539D+01 -0.406846865225186D-16  0.753723601534001D-01  0.000000000000000D+00
  0.553076454902790D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.557303580759257D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.561484928722405D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.565622563740401D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.569718529173884D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.573774847805073D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.577793522836715D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.581776538881357D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.585725862941450D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.589643445380738D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.593531220887449D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.597391109429731D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.601225017203825D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.605034837575434D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.608822452014761D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.612589731025662D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.616338535069394D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.620070715483398D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.623788115395578D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.627492570634523D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.631185910636128D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.634869959347057D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.638546536125493D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.642217456639624D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.645884533764306D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.649549578476346D+01 -0.406846865225186D-16  0.100000000000000D+01  0.000000000000000D+00
  0.653214400748850D+01 -0.406846865225186D-16  0.773559404710481D+00  0.000000000000000D+00
  0.656880810445073D+01 -0.406846865225186D-16  0.692522622314281D+00  0.000000000000000D+00
  0.660550618212215D+01 -0.406846865225186D-16  0.640547669310044D+00  0.000000000000000D+00
  0.664225636375604D+01 -0.406846865225186D-16  0.601660560146907D+00  0.000000000000000D+00
  0.667907679833711D+01 -0.406846865225186D-16  0.570375347901139D+00  0.000000000000000D+00
  0.671598566954429D+01 -0.406846865225186D-16  0.544125975998650D+00  0.000000000000000D+00
  0.675300120473072D+01 -0.406846865225186D-16  0.521488190178394D+00  0.000000000000000D+00
  0.679014168392529D+01 -0.406846865225186D-16  0.501581284834544D+00  0.000000000000000D+00
  0.682742544886016D+01 -0.406846865225186D-16  0.483818659782844D+00  0.000000000000000D+00
  0.686487091202879D+01 -0.406846865225186D-16  0.467787868939444D+00  0.000000000000000D+00
  0.690249656577893D+01 -0.406846865225186D-16  0.453186735469789D+00  0.000000000000000D+00
  0.694032099144497D+01 -0.406846865225186D-16  0.439786606844823D+00  0.000000000000000D+00
  0.697836286852431D+01 -0.406846865225186D-16  0.427409911390434D+00  0.000000000000000D+00
  0.701664098390220D+01 -0.406846865225186D-16  0.415915772506136D+00  0.000000000000000D+00
  0.705517424112958D+01 -0.406846865225186D-16  0.405190415272643D+00  0.000000000000000D+00
  0.709398166975853D+01 -0.406846865225186D-16  0.395140553810688D+00  0.000000000000000D+00
  0.713308243473999D+01 -0.406846865225186D-16  0.385688703601466D+00  0.000000000000000D+00
  0.717249584588834D+01 -0.406846865225186D-16  0.376769777566940D+00  0.000000000000000D+00
  0.721224136741747D+01 -0.406846865225186D-16  0.368328562098080D+00  0.000000000000000D+00
  0.725233862755313D+01 -0.406846865225186D-16  0.360317811119866D+00  0.000000000000000D+00
  0.729280742822633D+01 -0.406846865225186D-16  0.352696783433574D+00  0.000000000000000D+00
  0.733366775485241D+01 -0.406846865225186D-16  0.345430104038245D+00  0.000000000000000D+00
  0.737493978620083D+01 -0.406846865225186D-16  0.338486866231138D+00  0.000000000000000D+00
  0.741664390436038D+01 -0.406846865225186D-16  0.331839915358373D+00  0.000000000000000D+00
  0.745880070480484D+01 -0.406846865225186D-16  0.325465271475002D+00  0.000000000000000D+00
  0.750143100656401D+01 -0.406846865225186D-16  0.319341659540924D+00  0.000000000000000D+00
  0.754455586250510D+01 -0.406846865225186D-16  0.313450123801180D+00  0.000000000000000D+00
  0.758819656972967D+01 -0.406846865225186D-16  0.307773708745727D+00  0.000000000000000D+00
  0.763237468009114D+01 -0.406846865225186D-16  0.302297193221830D+00  0.000000000000000D+00
  0.767711201083811D+01 -0.406846865225186D-16  0.297006867347643D+00  0.000000000000000D+00
  0.772243065538877D+01 -0.406846865225186D-16  0.291890344167872D+00  0.000000000000000D+00
  0.776835299424165D+01 -0.406846865225186D-16  0.286936399718889D+00  0.000000000000000D+00
  0.781490170602820D+01 -0.406846865225186D-16  0.282134836485374D+00  0.000000000000000D+00
  0.786209977871259D+01 -0.406846865225186D-16  0.277476366240216D+00  0.000000000000000D+00
  0.790997052094419D+01 -0.406846865225186D-16  0.272952509042824D+00  0.000000000000000D+00
  0.795853757356858D+01 -0.406846865225186D-16  0.268555505782478D+00  0.000000000000000D+00
  0.800782492130244D+01 -0.406846865225186D-16  0.264278242135516D+00  0.000000000000000D+00
  0.805785690457838D+01 -0.406846865225186D-16  0.260114182188765D+00  0.000000000000000D+00
  0.810865823156542D+01 -0.406846865225186D-16  0.256057310287190D+00  0.000000000000000D+00
  0.816025399037103D+01 -0.406846865225186D-16  0.252102079910417D+00  0.000000000000000D+00
  0.821266966143081D+01 -0.406846865225186D-16  0.248243368580588D+00  0.000000000000000D+00
  0.826593113009198D+01 -0.406846865225186D-16  0.244476437966787D+00  0.000000000000000D+00
  0.832006469939678D+01 -0.406846865225186D-16  0.240796898482710D+00  0.000000000000000D+00
  0.837509710307216D+01 -0.406846865225186D-16  0.237200677783044D+00  0.000000000000000D+00
  0.843105551873214D+01 -0.406846865225186D-16  0.233683992652470D+00  0.000000000000000D+00
  0.848796758129946D+01 -0.406846865225186D-16  0.230243323859001D+00  0.000000000000000D+00
  0.854586139665295D+01 -0.406846865225186D-16  0.226875393605246D+00  0.000000000000000D+00
  0.860476555550762D+01 -0.406846865225186D-16  0.223577145263296D+00  0.000000000000000D+00
  0.866470914753403D+01 -0.406846865225186D-16  0.220345725121901D+00  0.000000000000000D+00
  0.872572177572424D+01 -0.406846865225186D-16  0.217178465912058D+00  0.000000000000000D+00
  0.878783357101110D+01 -0.406846865225186D-16  0.214072871907823D+00  0.000000000000000D+00
  0.885107520714838D+01 -0.406846865225186D-16  0.211026605426698D+00  0.000000000000000D+00
  0.891547791585889D+01 -0.406846865225186D-16  0.208037474566722D+00  0.000000000000000D+00
  0.898107350225824D+01 -0.406846865225186D-16  0.205103422059431D+00  0.000000000000000D+00
  0.904789436056164D+01 -0.406846865225186D-16  0.202222515109719D+00  0.000000000000000D+00
  0.911597349008180D+01 -0.406846865225186D-16  0.199392936129006D+00  0.000000000000000D+00
  0.918534451152545D+01 -0.406846865225186D-16  0.196612974267392D+00  0.000000000000000D+00
  0.925604168359692D+01 -0.406846865225186D-16  0.193881017664938D+00  0.000000000000000D+00
