          47          76      168000   12.000000000000000     
 -0.147057510647699D+00 -0.400000000147221D-02  0.000000000000000D+00  0.000000000000000D+00
  0.147057510647699D+00 -0.400000000147221D-02 -0.000000000000000D+00  0.000000000000000D+00
  0.434038689688336D+00 -0.400000000147221D-02  0.148965732877594-318  0.000000000000000D+00
  0.707102066273422D+00 -0.400000000147221D-02  0.309769278629545-318  0.000000000000000D+00
  0.966930441076781D+00 -0.400000000147221D-02  0.474233850817179-318  0.000000000000000D+00
  0.121417352037398D+01 -0.400000000147221D-02  0.148680315603912D-77  0.000000000000000D+00
  0.144944954064642D+01 -0.400000000147221D-02  0.263975531189714D-68  0.000000000000000D+00
  0.167334681449460D+01 -0.400000000147221D-02  0.153713511451981D-61  0.000000000000000D+00
  0.188642520172603D+01 -0.400000000147221D-02  0.905772922488668D-56  0.000000000000000D+00
  0.208921750929634D+01 -0.400000000147221D-02  0.129484492443238D-50  0.000000000000000D+00
  0.228223082360427D+01 -0.400000000147221D-02  0.667144237761277D-46  0.000000000000000D+00
  0.246594777847172D+01 -0.400000000147221D-02  0.154613629772373D-41  0.000000000000000D+00
  0.264082776197977D+01 -0.400000000147221D-02  0.185215656689123D-37  0.000000000000000D+00
  0.280730806517808D+01 -0.400000000147221D-02  0.125929208534576D-33  0.000000000000000D+00
  0.296580497554038D+01 -0.400000000147221D-02  0.518985282961250D-30  0.000000000000000D+00
  0.311671481789992D+01 -0.400000000147221D-02  0.135958881744087D-26  0.000000000000000D+00
  0.326041494546803D+01 -0.400000000147221D-02  0.234438260709629D-23  0.000000000000000D+00
  0.339726468341369D+01 -0.400000000147221D-02  0.272919270905639D-20  0.000000000000000D+00
  0.352760622736360D+01 -0.400000000147221D-02  0.218246988786173D-17  0.000000000000000D+00
  0.365176549906951D+01 -0.400000000147221D-02  0.121114063761262D-14  0.000000000000000D+00
  0.377005296138237D+01 -0.400000000147221D-02  0.468150301384128D-12  0.000000000000000D+00
  0.388276439457115D+01 -0.400000000147221D-02  0.125720235863287D-09  0.000000000000000D+00
  0.399018163592758D+01 -0.400000000147221D-02  0.232227316133731D-07  0.000000000000000D+00
  0.409257328450619D+01 -0.400000000147221D-02  0.288617822476530D-05  0.000000000000000D+00
  0.419019537276186D+01 -0.400000000147221D-02  0.229688490041099D-03  0.000000000000000D+00
  0.428329200676431D+01 -0.400000000147221D-02  0.100483729614215D-01  0.000000000000000D+00
  0.437209597659041D+01 -0.400000000147221D-02  0.143626961249319D+00  0.000000000000000D+00
  0.445682933842065D+01 -0.400000000147221D-02  0.399503757771670D+00  0.000000000000000D+00
